transaction_id,created_at_UTC,user_phone,amount_paid_cents,zip_code,spot_id,amount_paid_dollar
1,2022-02-03 8:59:46,(674) 384-2776,9065,30006,5,90.65
2,2021-09-02 15:55:02,1-251-843-1844,6844,23841,5,68.44
3,2022-05-11 11:04:50,1-451-684-9420,9446,482219,9,94.46
4,2021-01-24 17:05:12,1-658-836-8233,660,15537,8,6.6
5,2020-11-22 8:13:02,(481) 946-2170,5714,221573,11,57.14
6,2021-08-27 16:24:06,(771) 647-7413,8822,66352,3,88.22
7,2022-10-10 13:38:37,1-928-938-1403,4526,354135,5,45.26
8,2022-07-18 2:22:57,1-903-517-7431,5284,563958,8,52.84
9,2021-08-26 14:12:47,(774) 472-3583,3413,41744-248,11,34.13
10,2021-12-17 18:35:16,(392) 515-2956,182,38402,9,1.82
11,2022-01-18 1:39:55,1-458-205-4740,7514,5548 QD,10,75.14
12,2021-02-14 12:32:25,1-402-986-7332,8852,495724,6,88.52
13,2021-05-25 18:05:16,1-401-463-8257,8564,8555,2,85.64
14,2022-08-19 17:53:29,1-534-303-3418,7371,1214,4,73.71
15,2021-07-29 12:11:33,1-551-774-1645,1080,2355,8,10.8
16,2022-07-18 3:29:53,1-880-293-6664,1229,34564,8,12.29
17,2022-04-24 21:22:15,(585) 824-2523,1435,31202,10,14.35
18,2022-02-09 23:11:16,(587) 827-2017,8276,4534,12,82.76
19,2022-06-01 22:02:17,1-412-728-9841,4711,6417,12,47.11
20,2021-01-22 12:25:23,(927) 106-5565,5413,88426,5,54.13
21,2021-12-24 0:31:07,(432) 511-1688,7426,75311,7,74.26
22,2022-03-26 16:20:38,1-826-278-7042,6068,41371,6,60.68
23,2021-03-03 8:27:24,1-592-285-8035,4973,84665,14,49.73
24,2021-11-26 11:47:29,1-883-737-2324,1153,f1T 8T1,1,11.53
25,2022-02-25 16:13:23,(865) 455-9152,6508,3868,3,65.08
26,2020-11-20 17:23:39,(537) 788-5572,4280,307248,2,42.8
27,2021-04-19 22:44:09,1-608-367-6385,9347,6723,6,93.47
28,2021-11-24 15:54:53,1-504-879-3332,2552,33391,12,25.52
29,2022-09-08 4:49:37,(186) 250-5856,6662,50104,8,66.62
30,2021-08-02 9:59:22,(321) 376-5864,3867,8217,5,38.67
31,2020-12-21 7:22:32,(837) 537-9128,1379,10125,5,13.79
32,2022-10-28 3:01:44,(248) 587-6867,7858,450829,1,78.58
33,2021-05-02 7:34:16,(772) 323-4644,7530,54703,6,75.3
34,2022-05-13 2:18:51,(295) 868-2133,178,6682,7,1.78
35,2021-06-05 10:45:57,(945) 455-2656,5877,402585,9,58.77
36,2022-08-25 5:46:24,1-156-735-8407,5651,2182,4,56.51
37,2020-12-06 11:59:32,(262) 526-6657,1929,4021,5,19.29
38,2022-08-07 6:17:25,1-131-688-1543,5531,236123,8,55.31
39,2021-10-28 16:30:15,1-760-653-3122,7430,422542,5,74.3
40,2022-09-19 7:00:51,(550) 547-1311,2146,31917,3,21.46
41,2022-02-07 7:25:44,(327) 834-3842,4529,22744,4,45.29
42,2021-03-26 23:38:07,1-442-914-7946,695,1150,8,6.95
43,2022-06-20 10:25:17,1-177-549-5623,7882,77163,2,78.82
44,2021-09-29 16:35:23,(388) 375-1128,6197,693284,2,61.97
45,2021-01-02 3:32:50,(856) 619-6454,1123,42294,11,11.23
46,2021-04-20 9:53:25,(783) 647-1635,5375,6741,8,53.75
47,2021-10-05 11:56:14,1-713-582-4473,9996,2847,11,99.96
48,2022-09-21 3:08:00,1-287-461-7816,9870,H8P 1P5,15,98.7
49,2021-01-30 14:01:32,1-715-864-5096,4908,2774,6,49.08
50,2022-07-29 19:41:49,1-348-271-1628,5874,43718-87634,5,58.74
51,2021-06-19 21:08:03,(614) 733-1884,1579,33334-21458,8,15.79
52,2021-12-15 3:33:03,(467) 777-5875,6472,6480,3,64.72
53,2021-08-15 20:03:02,1-846-281-8183,650,2442,11,6.5
54,2022-01-01 12:09:21,(571) 631-9325,9486,19961,6,94.86
55,2021-03-22 10:39:07,(318) 915-8658,6078,27377,9,60.78
56,2022-09-13 22:55:03,1-172-542-8287,3395,4590,7,33.95
